id_producto;nombre;categoria;subcategoria;marca;precio_lista;costo_unitario_promedio;producto_estrella;asociacion_1;asociacion_2;asociacion_3
1;Arroz Extra 1 kg;Abarrotes;Arroz;Costeño;6.9;4.4;True;Menestras;Aceites;Salsas y Condimentos
2;Arroz Superior 5 kg;Abarrotes;Arroz;Costeño;31.9;23.8;True;Menestras;Aceites;Salsas y Condimentos
3;Arroz Premium 5 kg;Abarrotes;Arroz;Paisana;34.9;26.2;False;Menestras;Aceites;Salsas y Condimentos
4;Arroz Extra 750 g;Abarrotes;Arroz;Faraón;5.4;3.6;True;Menestras;Aceites;Salsas y Condimentos
5;Arroz Integral 1 kg;Abarrotes;Arroz;Valle Norte;8.9;6.1;False;Menestras;Aceites;Salsas y Condimentos
6;Arroz Extra 1 kg;Abarrotes;Arroz;Tropical;6.5;4.1;True;Menestras;Aceites;Salsas y Condimentos
7;Arroz Superior 750 g;Abarrotes;Arroz;Costeño;5.1;3.4;False;Menestras;Aceites;Salsas y Condimentos
8;Arroz Premium 1 kg;Abarrotes;Arroz;Faraón;7.5;5.0;False;Menestras;Aceites;Salsas y Condimentos
9;Arroz Extra 5 kg;Abarrotes;Arroz;Paisana;32.5;24.3;True;Menestras;Aceites;Salsas y Condimentos
10;Arroz Integral 5 kg;Abarrotes;Arroz;Valle Norte;38.9;29.0;False;Menestras;Aceites;Salsas y Condimentos
11;Arroz Extra 1 kg;Abarrotes;Arroz;Añejo Real;7.2;4.7;False;Menestras;Aceites;Salsas y Condimentos
12;Arroz Superior 1 kg;Abarrotes;Arroz;Costeño;6.8;4.3;True;Menestras;Aceites;Salsas y Condimentos
13;Arroz Premium 750 g;Abarrotes;Arroz;Tropical;5.9;3.9;False;Menestras;Aceites;Salsas y Condimentos
14;Arroz Extra 2 kg;Abarrotes;Arroz;Paisana;12.9;9.1;True;Menestras;Aceites;Salsas y Condimentos
15;Arroz Integral 2 kg;Abarrotes;Arroz;Faraón;14.9;10.8;False;Menestras;Aceites;Salsas y Condimentos
16;Fideo Spaghetti 500 g;Abarrotes;Fideos;Molitalia;4.8;2.9;True;Salsas y Condimentos;Quesos;Conservas
17;Fideo Tallarín 500 g;Abarrotes;Fideos;Don Vittorio;4.6;2.8;True;Salsas y Condimentos;Quesos;Conservas
18;Fideo Cabello de Ángel;Abarrotes;Fideos;Nicolini;4.2;2.5;True;Salsas y Condimentos;Quesos;Conservas
19;Fideo Tornillo;Abarrotes;Fideos;Molitalia;4.9;3.0;True;Salsas y Condimentos;Quesos;Conservas
20;Fideo Corbata;Abarrotes;Fideos;Don Vittorio;5.3;3.2;False;Salsas y Condimentos;Quesos;Conservas
21;Fideo Spaghetti Integral;Abarrotes;Fideos;Molitalia;6.2;4.1;False;Salsas y Condimentos;Quesos;Conservas
22;Fideo Nido;Abarrotes;Fideos;Nicolini;5.1;3.2;False;Salsas y Condimentos;Quesos;Conservas
23;Fideo Tallarín Familiar;Abarrotes;Fideos;Don Vittorio;7.5;5.1;True;Salsas y Condimentos;Quesos;Conservas
24;Fideo Spaghetti Familiar;Abarrotes;Fideos;Molitalia;7.9;5.4;True;Salsas y Condimentos;Quesos;Conservas
25;Fideo Tornillo Integral;Abarrotes;Fideos;Nicolini;6.5;4.2;False;Salsas y Condimentos;Quesos;Conservas
26;Fideo Letras;Abarrotes;Fideos;Nicolini;4.9;3.0;False;Salsas y Condimentos;Quesos;Conservas
27;Fideo Estrellas;Abarrotes;Fideos;Don Vittorio;5.1;3.1;False;Salsas y Condimentos;Quesos;Conservas
28;Fideo Lasaña;Abarrotes;Fideos;Molitalia;8.2;5.8;False;Salsas y Condimentos;Quesos;Conservas
29;Fideo Codito;Abarrotes;Fideos;Nicolini;4.8;2.9;True;Salsas y Condimentos;Quesos;Conservas
30;Fideo Caracol;Abarrotes;Fideos;Molitalia;4.7;2.8;True;Salsas y Condimentos;Quesos;Conservas
31;Azúcar Rubia 1 kg;Abarrotes;Azúcar y Endulzantes;Cartavio;5.4;3.4;True;Café y Té;Harinas;Leche
32;Azúcar Blanca 1 kg;Abarrotes;Azúcar y Endulzantes;Paramonga;5.2;3.3;True;Café y Té;Harinas;Leche
33;Azúcar Rubia 2 kg;Abarrotes;Azúcar y Endulzantes;Cartavio;10.3;6.8;True;Café y Té;Harinas;Leche
34;Azúcar Blanca 2 kg;Abarrotes;Azúcar y Endulzantes;Paramonga;10.1;6.6;True;Café y Té;Harinas;Leche
35;Stevia 100 sobres;Abarrotes;Azúcar y Endulzantes;Monk;16.9;11.2;False;Café y Té;Harinas;Leche
36;Endulzante Líquido;Abarrotes;Azúcar y Endulzantes;Monk;18.5;12.5;False;Café y Té;Harinas;Leche
37;Azúcar Morena 1 kg;Abarrotes;Azúcar y Endulzantes;Cartavio;6.1;4.1;False;Café y Té;Harinas;Leche
38;Panela Molida;Abarrotes;Azúcar y Endulzantes;Valle Dulce;8.5;5.8;False;Café y Té;Harinas;Leche
39;Stevia 50 sobres;Abarrotes;Azúcar y Endulzantes;Monk;9.9;6.5;False;Café y Té;Harinas;Leche
40;Azúcar Blanca 5 kg;Abarrotes;Azúcar y Endulzantes;Paramonga;23.9;17.3;True;Café y Té;Harinas;Leche
41;Aceite Vegetal 1 L;Abarrotes;Aceites;Primor;12.5;8.7;True;Arroz;Verduras;Pollo
42;Aceite Girasol 1 L;Abarrotes;Aceites;Cocinero;13.2;9.1;True;Arroz;Verduras;Pollo
43;Aceite Oliva 500 ml;Abarrotes;Aceites;Olivos del Sur;28.9;20.6;False;Arroz;Verduras;Pollo
44;Aceite Canola 900 ml;Abarrotes;Aceites;Cocinero;14.5;10.1;False;Arroz;Verduras;Pollo
45;Aceite Vegetal 5 L;Abarrotes;Aceites;Primor;59.9;44.2;True;Arroz;Verduras;Pollo
46;Aceite Maíz 900 ml;Abarrotes;Aceites;Ideal;15.2;10.8;False;Arroz;Verduras;Pollo
47;Aceite Oliva Extra Virgen;Abarrotes;Aceites;Borges;39.9;28.7;False;Arroz;Verduras;Pollo
48;Aceite Vegetal 900 ml;Abarrotes;Aceites;Ideal;11.9;8.2;True;Arroz;Verduras;Pollo
49;Aceite Girasol 5 L;Abarrotes;Aceites;Cocinero;63.9;47.6;False;Arroz;Verduras;Pollo
50;Aceite Vegetal 2 L;Abarrotes;Aceites;Primor;24.9;18.1;True;Arroz;Verduras;Pollo
51;Atún en Agua;Abarrotes;Conservas;Florida;7.9;5.1;True;Arroz;Fideos;Salsas y Condimentos
52;Atún en Aceite;Abarrotes;Conservas;Campomar;8.2;5.4;True;Arroz;Fideos;Salsas y Condimentos
53;Sardinas en Salsa;Abarrotes;Conservas;Florida;5.9;3.8;True;Arroz;Fideos;Salsas y Condimentos
54;Duraznos en Almíbar;Abarrotes;Conservas;Athos;10.9;7.3;False;Arroz;Fideos;Salsas y Condimentos
55;Choclo en Conserva;Abarrotes;Conservas;Gloria;8.4;5.6;True;Arroz;Fideos;Salsas y Condimentos
56;Arvejas en Conserva;Abarrotes;Conservas;Gloria;7.9;5.2;True;Arroz;Fideos;Salsas y Condimentos
57;Champiñones Laminados;Abarrotes;Conservas;Valle Fértil;12.9;8.9;False;Arroz;Fideos;Salsas y Condimentos
58;Frejoles en Conserva;Abarrotes;Conservas;Gloria;7.8;5.2;False;Arroz;Fideos;Salsas y Condimentos
59;Coctel de Frutas;Abarrotes;Conservas;Athos;11.9;8.1;False;Arroz;Fideos;Salsas y Condimentos
60;Espárragos Verdes;Abarrotes;Conservas;Danper;13.9;9.6;False;Arroz;Fideos;Salsas y Condimentos
61;Lentejas 500 g;Abarrotes;Menestras;Costeño;5.6;3.6;True;Arroz;Aceites;Salsas y Condimentos
62;Frejol Canario 500 g;Abarrotes;Menestras;Costeño;6.8;4.6;True;Arroz;Aceites;Salsas y Condimentos
63;Garbanzo 500 g;Abarrotes;Menestras;Paisana;6.2;4.1;True;Arroz;Aceites;Salsas y Condimentos
64;Pallares 500 g;Abarrotes;Menestras;Paisana;8.4;5.9;False;Arroz;Aceites;Salsas y Condimentos
65;Frijol Negro 500 g;Abarrotes;Menestras;Costeño;6.1;4.0;False;Arroz;Aceites;Salsas y Condimentos
66;Frejol Panamito;Abarrotes;Menestras;Tottus;6.4;4.3;False;Arroz;Aceites;Salsas y Condimentos
67;Arveja Partida;Abarrotes;Menestras;Costeño;5.5;3.6;True;Arroz;Aceites;Salsas y Condimentos
68;Quinua Blanca;Abarrotes;Menestras;Valle Andino;12.9;8.9;False;Arroz;Aceites;Salsas y Condimentos
69;Quinua Roja;Abarrotes;Menestras;Valle Andino;13.5;9.2;False;Arroz;Aceites;Salsas y Condimentos
70;Kiwicha;Abarrotes;Menestras;Andean Valley;11.9;8.1;False;Arroz;Aceites;Salsas y Condimentos
71;Harina Preparada;Abarrotes;Harinas;Nicolini;5.4;3.5;False;Azúcar y Endulzantes;Mantequilla y Margarina;Leche
72;Harina sin Preparar;Abarrotes;Harinas;Nicolini;4.9;3.1;False;Azúcar y Endulzantes;Mantequilla y Margarina;Leche
73;Harina Integral;Abarrotes;Harinas;Blanca Flor;6.2;4.2;False;Azúcar y Endulzantes;Mantequilla y Margarina;Leche
74;Harina de Maíz;Abarrotes;Harinas;Blanca Flor;7.4;5.0;False;Azúcar y Endulzantes;Mantequilla y Margarina;Leche
75;Harina de Avena;Abarrotes;Harinas;Quaker;8.9;6.2;False;Azúcar y Endulzantes;Mantequilla y Margarina;Leche
76;Harina de Quinua;Abarrotes;Harinas;Andean Valley;12.9;8.8;False;Azúcar y Endulzantes;Mantequilla y Margarina;Leche
77;Harina de Arroz;Abarrotes;Harinas;Valle Andino;9.5;6.4;False;Azúcar y Endulzantes;Mantequilla y Margarina;Leche
78;Harina Repostera;Abarrotes;Harinas;Nicolini;5.9;3.9;False;Azúcar y Endulzantes;Mantequilla y Margarina;Leche
79;Harina Multigrano;Abarrotes;Harinas;Quaker;10.9;7.5;False;Azúcar y Endulzantes;Mantequilla y Margarina;Leche
80;Harina para Pizza;Abarrotes;Harinas;Blanca Flor;6.9;4.6;False;Azúcar y Endulzantes;Mantequilla y Margarina;Leche
81;Ketchup 500 g;Abarrotes;Salsas y Condimentos;Alacena;8.9;6.1;False;Fideos;Pollo;Verduras
82;Mayonesa 475 g;Abarrotes;Salsas y Condimentos;Alacena;10.5;7.2;False;Fideos;Pollo;Verduras
83;Mostaza 250 g;Abarrotes;Salsas y Condimentos;Alacena;6.2;4.1;False;Fideos;Pollo;Verduras
84;Sillao 500 ml;Abarrotes;Salsas y Condimentos;Kikko;9.9;6.8;False;Fideos;Pollo;Verduras
