id_tienda;nombre;canal;region;ciudad;prob_seleccion;%
1;Retail Centro Lima;Físico;Lima;Lima;0.09;9
2;Retail San Isidro;Físico;Lima;Lima;0.07;7
3;Retail Miraflores;Físico;Lima;Lima;0.08;8
4;Retail Norte;Físico;La Libertad;Trujillo;0.08;8
5;Retail Sur;Físico;Arequipa;Arequipa;0.12;12
6;Retail Cusco Centro;Físico;Cusco;Cusco;0.04;4
7;Retail Piura Mall;Físico;Piura;Piura;0.08;8
8;Retail Chiclayo;Físico;Lambayeque;Chiclayo;0.03;3
9;Retail Iquitos;Físico;Loreto;Iquitos;0.06;6
10;Retail Huancayo;Físico;Junín;Huancayo;0.02;2
11;Retail Online Perú;Online;Lima;Lima;0.07;7
12;Retail Express Norte;Online;La Libertad;Trujillo;0.02;2
13;Retail Express Sur;Online;Arequipa;Arequipa;0.13;13
14;Retail Express Oriente;Online;Loreto;Iquitos;0.07;7
15;Retail Express Sierra;Online;Cusco;Cusco;0.04;4
