id_promocion;nombre;tipo;descuento_pct;fecha_inicio;fecha_fin;anio
1;sin_promocion;sin_promocion;0.0;2024-01-01;2026-01-01;
2;Rebajas de verano;descuento_directo;0.1;2024-01-15;2024-01-31;2024.0
3;Campaña escolar;descuento_directo;0.12;2024-02-15;2024-03-10;2024.0
4;Cyber Wow abril;ciber_online;0.15;2024-04-15;2024-04-21;2024.0
5;Día de la Madre;descuento_directo;0.1;2024-05-06;2024-05-12;2024.0
6;Día del Padre;descuento_directo;0.1;2024-06-10;2024-06-16;2024.0
7;Fiestas Patrias;descuento_directo;0.15;2024-07-15;2024-07-31;2024.0
8;Winter Sale;descuento_directo;0.1;2024-08-12;2024-08-25;2024.0
9;Semana AndesPlus;fidelizacion;0.08;2024-09-09;2024-09-15;2024.0
10;Primavera Retail;combo;0.1;2024-10-07;2024-10-20;2024.0
11;Cyber Octubre;ciber_online;0.15;2024-10-28;2024-11-03;2024.0
12;Black Friday;ciber_online;0.2;2024-11-25;2024-11-29;2024.0
13;Cyber Monday;ciber_online;0.18;2024-12-02;2024-12-04;2024.0
14;Navidad;descuento_directo;0.2;2024-12-14;2024-12-24;2024.0
15;Fin de Año;combo;0.12;2024-12-26;2024-12-31;2024.0
16;Rebajas de verano;descuento_directo;0.1;2025-01-15;2025-01-31;2025.0
17;Campaña escolar;descuento_directo;0.12;2025-02-15;2025-03-10;2025.0
18;Cyber Wow abril;ciber_online;0.15;2025-04-15;2025-04-21;2025.0
19;Día de la Madre;descuento_directo;0.1;2025-05-05;2025-05-11;2025.0
20;Día del Padre;descuento_directo;0.1;2025-06-09;2025-06-15;2025.0
21;Fiestas Patrias;descuento_directo;0.15;2025-07-15;2025-07-31;2025.0
22;Winter Sale;descuento_directo;0.1;2025-08-11;2025-08-24;2025.0
23;Semana AndesPlus;fidelizacion;0.08;2025-09-08;2025-09-14;2025.0
24;Primavera Retail;combo;0.1;2025-10-06;2025-10-19;2025.0
25;Cyber Octubre;ciber_online;0.15;2025-10-27;2025-11-02;2025.0
26;Black Friday;ciber_online;0.2;2025-11-24;2025-11-28;2025.0
27;Cyber Monday;ciber_online;0.18;2025-12-01;2025-12-03;2025.0
28;Navidad;descuento_directo;0.2;2025-12-14;2025-12-24;2025.0
29;Fin de Año;combo;0.12;2025-12-26;2025-12-31;2025.0
