id_cliente;probabilidad_abandono;riesgo
1;0.0;
2;0.0;
3;0.03;Bajo
4;0.0;
5;0.1;Bajo
6;0.16;Bajo
7;0.81;Alto
8;0.02;Bajo
9;0.05;Bajo
10;0.02;Bajo
11;0.01;Bajo
12;0.18;Bajo
13;0.75;Alto
14;0.11;Bajo
15;0.02;Bajo
16;0.11;Bajo
17;0.18;Bajo
18;0.05;Bajo
19;0.1;Bajo
20;0.01;Bajo
21;0.83;Alto
22;0.03;Bajo
23;0.06;Bajo
24;0.11;Bajo
25;0.03;Bajo
26;0.02;Bajo
27;0.75;Alto
28;0.08;Bajo
29;0.04;Bajo
30;0.04;Bajo
31;0.1;Bajo
32;0.75;Alto
33;0.84;Alto
34;0.0;
35;0.15;Bajo
36;0.75;Alto
37;0.15;Bajo
38;0.01;Bajo
39;0.03;Bajo
40;0.08;Bajo
41;0.0;
42;0.7;Medio
43;0.02;Bajo
44;0.53;Medio
45;0.13;Bajo
46;0.09;Bajo
47;0.0;
48;0.14;Bajo
49;0.32;Medio
50;0.02;Bajo
51;0.0;
52;0.84;Alto
53;0.9;Alto
54;0.76;Alto
55;0.74;Alto
56;0.02;Bajo
57;0.41;Medio
58;0.0;
59;0.05;Bajo
60;0.04;Bajo
61;0.13;Bajo
62;0.08;Bajo
63;0.07;Bajo
64;0.98;Alto
65;0.02;Bajo
66;0.11;Bajo
67;0.05;Bajo
68;0.05;Bajo
69;0.0;
70;0.0;
71;0.02;Bajo
72;0.0;
73;0.08;Bajo
74;0.82;Alto
75;0.06;Bajo
76;0.0;
77;0.15;Bajo
78;0.02;Bajo
79;0.07;Bajo
80;0.0;
81;0.73;Alto
82;0.63;Medio
83;0.54;Medio
84;0.0;
85;0.71;Alto
86;0.09;Bajo
87;0.05;Bajo
88;0.83;Alto
89;0.0;
90;0.01;Bajo
91;0.82;Alto
92;0.59;Medio
93;0.18;Bajo
94;0.05;Bajo
95;0.04;Bajo
96;0.96;Alto
97;0.02;Bajo
98;0.05;Bajo
99;0.02;Bajo
100;0.67;Medio
101;0.0;
102;0.47;Medio
103;0.03;Bajo
104;0.07;Bajo
105;0.04;Bajo
106;0.61;Medio
107;0.01;Bajo
108;0.72;Alto
109;0.02;Bajo
110;0.02;Bajo
111;0.1;Bajo
112;0.0;
113;0.31;Medio
114;0.0;
115;0.01;Bajo
116;0.01;Bajo
117;0.17;Bajo
118;0.75;Alto
119;0.0;
120;0.05;Bajo
121;0.0;
122;0.13;Bajo
123;0.07;Bajo
124;0.09;Bajo
125;0.67;Medio
126;0.57;Medio
127;0.04;Bajo
128;0.05;Bajo
129;0.87;Alto
130;0.89;Alto
131;0.1;Bajo
132;0.14;Bajo
133;0.02;Bajo
134;0.25;Bajo
135;0.08;Bajo
136;0.02;Bajo
137;0.0;
138;0.04;Bajo
139;0.0;
140;0.03;Bajo
141;0.02;Bajo
142;0.11;Bajo
143;0.76;Alto
144;0.07;Bajo
145;0.08;Bajo
