id_cliente;cluster;nombre_segmento;recencia;frecuencia;monto
1;1;En Riesgo / Inactivos;88;14;496.5
2;2;Campeones / VIP;18;9;400.3
3;0;Leales / Frecuentes;37;7;212.8
4;1;En Riesgo / Inactivos;33;16;565.0
5;2;Campeones / VIP;37;7;404.8
6;0;Leales / Frecuentes;101;3;251.6
7;3;Nuevos / Esporádicos;381;2;190.89999999999998
8;2;Campeones / VIP;61;9;267.992
9;2;Campeones / VIP;106;5;713.6
10;2;Campeones / VIP;9;8;230.3
11;1;En Riesgo / Inactivos;11;17;545.3
12;0;Leales / Frecuentes;117;3;75.0
13;3;Nuevos / Esporádicos;321;4;200.29999999999998
14;0;Leales / Frecuentes;60;8;158.70000000000002
15;0;Leales / Frecuentes;100;5;255.5
16;0;Leales / Frecuentes;238;6;188.1
17;0;Leales / Frecuentes;66;3;204.0
18;0;Leales / Frecuentes;64;5;314.8
19;0;Leales / Frecuentes;38;3;56.7
20;2;Campeones / VIP;6;12;551.5
21;3;Nuevos / Esporádicos;730;1;54.1
22;1;En Riesgo / Inactivos;46;22;1016.78
23;0;Leales / Frecuentes;93;5;120.19999999999999
24;2;Campeones / VIP;86;8;257.4
25;0;Leales / Frecuentes;89;7;173.89999999999998
26;2;Campeones / VIP;136;10;363.7
27;0;Leales / Frecuentes;248;2;20.4
28;0;Leales / Frecuentes;26;6;240.0
29;0;Leales / Frecuentes;133;6;267.5
30;2;Campeones / VIP;27;10;241.79999999999998
31;0;Leales / Frecuentes;21;4;103.0
32;3;Nuevos / Esporádicos;368;3;57.1
33;3;Nuevos / Esporádicos;607;2;118.79999999999998
34;1;En Riesgo / Inactivos;0;23;561.448
35;0;Leales / Frecuentes;137;4;125.3
36;3;Nuevos / Esporádicos;730;1;39.7
37;0;Leales / Frecuentes;138;2;149.0
38;2;Campeones / VIP;7;14;358.74199999999996
39;0;Leales / Frecuentes;36;5;215.20000000000002
40;0;Leales / Frecuentes;42;4;150.0
41;1;En Riesgo / Inactivos;54;17;503.59999999999997
42;0;Leales / Frecuentes;203;2;216.89999999999998
43;1;En Riesgo / Inactivos;38;7;1117.3
44;0;Leales / Frecuentes;146;2;98.80000000000001
45;0;Leales / Frecuentes;31;6;297.0
46;2;Campeones / VIP;57;10;171.4
47;2;Campeones / VIP;89;12;337.2
48;0;Leales / Frecuentes;125;6;64.3
49;3;Nuevos / Esporádicos;368;4;119.3
50;0;Leales / Frecuentes;48;7;160.1
51;2;Campeones / VIP;52;7;551.9
52;3;Nuevos / Esporádicos;376;2;42.7
53;3;Nuevos / Esporádicos;552;2;27.200000000000003
54;3;Nuevos / Esporádicos;729;1;164.2
55;0;Leales / Frecuentes;188;4;124.3
56;2;Campeones / VIP;51;8;244.3
57;0;Leales / Frecuentes;30;4;131.39999999999998
58;1;En Riesgo / Inactivos;4;21;1039.84
59;0;Leales / Frecuentes;90;8;145.915
60;2;Campeones / VIP;202;8;559.94
61;2;Campeones / VIP;4;8;251.0
62;2;Campeones / VIP;60;10;246.29
63;0;Leales / Frecuentes;51;6;155.0
64;3;Nuevos / Esporádicos;729;1;9.8
65;2;Campeones / VIP;41;7;544.3000000000001
66;0;Leales / Frecuentes;130;4;109.26
67;2;Campeones / VIP;159;10;368.8
68;1;En Riesgo / Inactivos;189;11;690.7
69;2;Campeones / VIP;101;7;543.0
70;1;En Riesgo / Inactivos;33;14;493.71000000000004
71;0;Leales / Frecuentes;28;5;272.9
72;2;Campeones / VIP;0;10;460.4
73;2;Campeones / VIP;18;9;261.2
74;3;Nuevos / Esporádicos;382;5;141.7
75;2;Campeones / VIP;28;7;368.0
76;2;Campeones / VIP;14;11;361.03999999999996
77;0;Leales / Frecuentes;94;4;108.1
78;2;Campeones / VIP;20;9;250.14000000000001
79;0;Leales / Frecuentes;1;5;169.99999999999997
80;1;En Riesgo / Inactivos;2;24;935.3
81;3;Nuevos / Esporádicos;302;4;82.6
82;0;Leales / Frecuentes;251;7;194.7
83;0;Leales / Frecuentes;109;4;94.5
84;2;Campeones / VIP;7;10;502.0
