id_venta;numero_linea;fecha;id_cliente;id_tienda;id_producto;id_promocion;cantidad;precio_unitario_lista;descuento_pct;precio_unitario_final;importe_venta;costo_total;margen
1;1;01/01/2024;1;7;4;1;1;5.4;0.0;5.4;5.4;3.6;1.8
1;2;01/01/2024;1;7;70;1;1;11.9;0.0;11.9;11.9;8.1;3.8
1;3;01/01/2024;1;7;5;1;1;8.9;0.0;8.9;8.9;6.1;2.8
1;4;01/01/2024;1;7;93;1;1;4.5;0.0;4.5;4.5;2.9;1.6
2;1;01/01/2024;2;3;406;1;1;64.9;0.0;64.9;64.9;49.5;15.4
3;1;01/01/2024;3;1;188;1;1;4.9;0.0;4.9;4.9;3.1;1.8
3;2;01/01/2024;3;1;41;1;5;12.5;0.0;12.5;62.5;43.5;19.0
3;3;01/01/2024;3;1;197;1;1;4.5;;4.5;4.5;2.9;1.6
3;4;01/01/2024;3;1;9;1;1;32.5;0.0;32.5;32.5;24.3;8.2
4;1;01/01/2024;4;11;17;1;1;4.6;0.0;4.6;4.6;2.8;1.8
5;1;01/01/2024;5;13;17;1;2;4.6;0.0;4.6;9.2;5.6;3.6
6;1;01/01/2024;6;6;2;1;1;31.9;0.0;31.9;31.9;23.8;8.1
6;2;01/01/2024;6;6;45;1;3;59.9;0.0;59.9;179.7;132.6;47.1
7;1;01/01/2024;7;7;354;1;1;14.9;0.0;14.9;14.9;10.8;4.1
7;2;01/01/2024;7;7;366;1;1;17.9;0.0;17.9;17.9;12.9;5.0
8;1;01/01/2024;8;3;244;1;2;5.9;0.0;5.9;11.8;7.8;4.0
9;1;01/01/2024;9;13;288;1;2;6.5;0.0;6.5;13.0;8.4;4.6
10;1;01/01/2024;10;8;378;1;1;24.9;0.0;24.9;24.9;18.3;6.6
11;1;01/01/2024;11;1;430;1;1;149.9;0.0;149.9;149.9;118.4;31.5
12;1;01/01/2024;12;4;202;1;1;4.2;0.0;4.2;4.2;2.7;1.5
12;2;01/01/2024;12;4;42;1;1;13.2;0.0;13.2;13.2;9.1;4.1
12;3;01/01/2024;12;4;1;1;1;6.9;0.0;6.9;6.9;4.4;2.5
13;1;01/01/2024;13;2;427;1;1;12.9;0.0;12.9;12.9;8.9;4.0
13;2;01/01/2024;13;2;450;1;4;16.9;0.0;16.9;67.6;47.6;20.0
14;1;01/01/2024;14;13;300;1;3;9.9;0.0;9.9;29.7;20.4;9.3
15;1;01/01/2024;15;12;405;1;2;62.9;0.0;62.9;125.8;95.8;30.0
15;2;01/01/2024;15;12;425;1;3;18.9;0.0;18.9;56.7;41.4;15.3
15;3;01/01/2024;15;12;411;1;2;13.9;0.0;13.9;27.8;19.8;8.0
16;1;01/01/2024;16;3;225;1;2;28.9;0.0;28.9;57.8;44.2;13.6
17;1;01/01/2024;17;1;190;1;1;3.5;0.0;3.5;3.5;2.2;1.3
18;1;01/01/2024;18;9;62;1;1;6.8;0.0;6.8;6.8;4.6;2.2
18;2;01/01/2024;18;9;95;1;4;12.9;0.0;12.9;51.6;35.2;16.4
19;1;01/01/2024;19;11;143;1;2;6.5;0.0;6.5;13.0;8.6;4.4
20;1;01/01/2024;20;8;148;1;1;4.7;0.0;4.7;4.7;3.0;1.7
20;2;01/01/2024;20;8;258;1;1;2.5;0.0;2.5;2.5;1.5;1.0
21;1;01/01/2024;21;11;176;1;2;5.2;0.0;5.2;10.4;6.8;3.6
21;2;01/01/2024;21;11;108;1;4;2.8;0.0;2.8;11.2;6.4;4.8
21;3;01/01/2024;21;11;190;1;1;3.5;0.0;3.5;3.5;2.2;1.3
21;4;01/01/2024;21;11;44;1;2;14.5;0.0;14.5;29.0;20.2;8.8
22;1;01/01/2024;22;10;98;1;2;7.9;0.0;7.9;15.8;10.6;5.2
22;2;01/01/2024;22;10;29;1;1;4.8;0.0;4.8;4.8;2.9;1.9
23;1;01/01/2024;23;3;111;1;2;3.8;0.0;3.8;7.6;4.6;3.0
24;1;01/01/2024;24;13;189;1;1;3.9;0.0;3.9;3.9;2.4;1.5
24;2;01/01/2024;24;13;47;1;1;39.9;0.0;39.9;39.9;28.7;11.2
25;1;01/01/2024;25;7;96;1;3;16.9;0.0;16.9;50.7;35.7;15.0
25;2;01/01/2024;25;7;17;1;3;4.6;0.0;4.6;13.8;8.4;5.4
26;1;01/01/2024;26;7;280;1;2;10.9;0.0;10.9;21.8;14.8;7.0
27;1;01/01/2024;27;1;158;1;1;16.9;0.0;16.9;16.9;11.8;5.1
28;1;01/01/2024;28;8;12;1;1;6.8;0.0;6.8;6.8;4.3;2.5
28;2;01/01/2024;28;8;88;1;2;6.9;0.0;6.9;13.8;9.4;4.4
29;1;01/01/2024;29;14;382;1;1;19.9;0.0;19.9;19.9;14.6;5.3
30;1;01/01/2024;30;7;214;1;4;23.9;0.0;23.9;95.6;72.4;23.2
31;1;01/01/2024;31;1;67;1;4;5.5;0.0;5.5;22.0;14.4;7.6
31;2;01/01/2024;31;1;6;1;5;6.5;0.0;6.5;32.5;20.5;12.0
32;1;01/01/2024;32;14;112;1;1;3.8;0.0;3.8;3.8;2.3;1.5
32;2;01/01/2024;32;14;383;1;1;22.9;0.0;22.9;22.9;16.8;6.1
32;3;01/01/2024;32;14;115;1;1;3.6;0.0;3.6;3.6;2.2;1.4
33;1;01/01/2024;33;4;249;1;1;2.2;0.0;2.2;2.2;1.3;0.9
33;2;01/01/2024;33;4;154;1;2;14.2;0.0;14.2;28.4;20.2;8.2
33;3;01/01/2024;33;4;175;1;1;6.5;0.0;6.5;6.5;4.2;2.3
34;1;01/01/2024;34;2;150;1;1;9.9;0.0;9.9;9.9;6.8;3.1
34;2;01/01/2024;34;2;263;1;1;2.9;0.0;2.9;2.9;1.8;1.1
34;3;01/01/2024;34;2;145;1;2;6.2;0.0;6.2;12.4;8.2;4.2
34;4;01/01/2024;34;2;126;1;4;15.9;0.0;15.9;63.6;44.8;18.8
35;1;01/01/2024;35;14;211;1;3;16.5;0.0;16.5;49.5;36.3;13.2
36;1;01/01/2024;36;4;56;1;2;7.9;0.0;7.9;15.8;10.4;5.4
36;2;01/01/2024;36;4;94;1;4;4.5;0.0;4.5;18.0;11.6;6.4
36;3;01/01/2024;36;4;192;1;1;5.9;0.0;5.9;5.9;3.9;2.0
37;1;01/01/2024;37;14;495;1;3;19.9;0.0;19.9;59.7;42.6;17.1
38;1;01/01/2024;38;8;488;1;2;24.9;0.0;24.9;49.8;36.6;13.2
38;2;01/01/2024;38;8;303;1;1;18.9;0.0;18.9;18.9;13.9;5.0
39;1;01/01/2024;39;13;120;1;1;8.9;0.0;8.9;8.9;5.6;3.3
40;1;01/01/2024;40;7;332;1;1;16.9;0.0;16.9;16.9;11.9;5.0
40;2;01/01/2024;40;7;351;1;3;6.9;0.0;6.9;20.7;14.4;6.3
41;1;01/01/2024;41;1;19;1;1;4.9;0.0;4.9;4.9;3.0;1.9
42;1;01/01/2024;42;13;405;1;3;62.9;0.0;62.9;188.7;143.7;45.0
43;1;01/01/2024;43;7;284;1;1;39.9;0.0;39.9;39.9;30.2;9.7
43;2;01/01/2024;43;7;327;1;1;39.9;;39.9;39.9;30.1;9.8
43;3;01/01/2024;43;7;306;1;2;10.5;0.0;10.5;21.0;14.4;6.6
43;4;01/01/2024;43;7;349;1;1;12.9;0.0;12.9;12.9;9.2;3.7
44;1;01/01/2024;44;2;440;1;1;89.9;0.0;89.9;89.9;70.6;19.3
45;1;01/01/2024;45;3;291;1;1;5.9;0.0;5.9;5.9;3.9;2.0
45;2;01/01/2024;45;3;308;1;3;10.9;0.0;10.9;32.7;22.8;9.9
46;1;02/01/2024;46;12;239;1;1;9.9;0.0;9.9;9.9;6.8;3.1
46;2;02/01/2024;46;12;254;1;1;4.5;0.0;4.5;4.5;3.0;1.5
46;3;02/01/2024;46;12;104;1;1;6.1;0.0;6.1;6.1;3.6;2.5
47;1;02/01/2024;47;2;216;1;1;9.9;0.0;9.9;9.9;6.8;3.1
48;1;02/01/2024;48;7;176;1;4;5.2;0.0;5.2;20.8;13.6;7.2
49;1;02/01/2024;49;7;120;1;3;8.9;0.0;8.9;26.7;16.8;9.9
49;2;02/01/2024;49;7;264;1;1;3.5;0.0;3.5;3.5;2.3;1.2
49;3;02/01/2024;49;7;146;1;3;8.5;0.0;8.5;25.5;17.7;7.8
50;1;02/01/2024;50;11;142;1;1;4.5;0.0;4.5;4.5;2.9;1.6
51;1;02/01/2024;51;1;399;1;1;17.9;0.0;17.9;17.9;13.1;4.8
52;1;02/01/2024;52;3;330;1;1;24.9;0.0;24.9;24.9;18.2;6.7
53;1;02/01/2024;53;1;1;1;1;6.9;0.0;6.9;6.9;4.4;2.5
54;1;02/01/2024;54;7;300;1;3;9.9;0.0;9.9;29.7;20.4;9.3
54;2;02/01/2024;54;7;283;1;3;32.9;0.0;32.9;98.7;74.4;24.3
54;3;02/01/2024;54;7;317;1;2;17.9;0.0;17.9;35.8;26.2;9.6
55;1;02/01/2024;55;4;75;1;1;8.9;0.0;8.9;8.9;6.2;2.7
56;1;02/01/2024;56;1;112;1;1;3.8;0.0;3.8;3.8;2.3;1.5
57;1;02/01/2024;57;8;332;1;2;16.9;0.0;16.9;33.8;23.8;10.0
58;1;02/01/2024;58;11;202;1;1;4.2;0.0;4.2;4.2;2.7;1.5
58;2;02/01/2024;58;11;49;1;1;63.9;0.0;63.9;63.9;47.6;16.3
59;1;02/01/2024;59;15;378;1;1;24.9;0.0;24.9;24.9;18.3;6.6
60;1;02/01/2024;60;11;279;1;1;15.9;0.0;15.9;15.9;11.4;4.5
60;2;02/01/2024;60;11;306;1;1;10.5;0.0;10.5;10.5;7.2;3.3
60;3;02/01/2024;60;11;319;1;1;19.9;0.0;19.9;19.9;14.2;5.7
61;1;02/01/2024;61;11;214;1;1;23.9;0.0;23.9;23.9;18.1;5.8
62;1;02/01/2024;62;15;113;1;2;8.9;0.0;8.9;17.8;11.4;6.4
63;1;02/01/2024;63;13;202;1;1;4.2;0.0;4.2;4.2;2.7;1.5
63;2;02/01/2024;63;13;212;1;1;15.5;0.0;15.5;15.5;11.2;4.3
63;3;02/01/2024;63;13;4;1;2;5.4;0.0;5.4;10.8;7.2;3.6
63;4;02/01/2024;63;13;191;1;1;4.5;0.0;4.5;4.5;2.9;1.6
64;1;02/01/2024;64;15;188;1;2;4.9;0.0;4.9;9.8;6.2;3.6
65;1;02/01/2024;65;5;23;1;2;7.5;0.0;7.5;15.0;10.2;4.8
65;2;02/01/2024;65;5;54;1;1;10.9;0.0;10.9;10.9;7.3;3.6
66;1;02/01/2024;66;1;119;1;3;8.9;0.0;8.9;26.7;16.8;9.9
66;2;02/01/2024;66;1;258;1;1;2.5;0.0;2.5;2.5;1.5;1.0
66;3;02/01/2024;66;1;173;1;2;4.9;0.0;4.9;9.8;6.4;3.4
66;4;02/01/2024;66;1;195;1;1;8.9;0.0;8.9;8.9;6.2;2.7
67;1;02/01/2024;67;4;148;1;1;4.7;0.0;4.7;4.7;3.0;1.7
67;2;02/01/2024;67;4;127;1;2;23.9;0.0;23.9;47.8;33.0;14.8
68;1;02/01/2024;68;4;345;1;2;4.9;0.0;4.9;9.8;6.4;3.4
69;1;02/01/2024;69;1;12;1;1;6.8;0.0;6.8;6.8;4.3;2.5
70;1;02/01/2024;70;1;427;1;1;12.9;0.0;12.9;12.9;8.9;4.0
71;1;02/01/2024;71;2;102;1;1;5.9;0.0;5.9;5.9;3.4;2.5
72;1;02/01/2024;72;9;40;1;2;23.9;0.0;23.9;47.8;34.6;13.2
73;1;02/01/2024;73;6;343;1;2;3.5;0.0;3.5;7.0;4.4;2.6
74;1;02/01/2024;74;10;185;1;2;12.9;0.0;12.9;25.8;18.4;7.4
74;2;02/01/2024;74;10;191;1;2;4.5;0.0;4.5;9.0;5.8;3.2
75;1;02/01/2024;75;7;112;1;1;3.8;0.0;3.8;3.8;2.3;1.5
76;1;02/01/2024;76;3;343;1;2;3.5;0.0;3.5;7.0;4.4;2.6
76;2;02/01/2024;76;3;360;1;2;6.9;0.0;6.9;13.8;9.2;4.6
77;1;02/01/2024;77;9;433;1;5;8.9;0.0;8.9;44.5;29.5;15.0
78;1;02/01/2024;78;11;382;1;2;19.9;0.0;19.9;39.8;29.2;10.6
79;1;02/01/2024;79;4;280;1;3;10.9;0.0;10.9;32.7;22.2;10.5
80;1;02/01/2024;80;7;407;1;1;69.9;0.0;69.9;69.9;53.6;16.3
81;1;02/01/2024;81;2;140;1;1;6.2;0.0;6.2;6.2;4.1;2.1
81;2;02/01/2024;81;2;258;1;1;2.5;;2.5;2.5;1.5;1.0
81;3;02/01/2024;81;2;131;1;1;7.9;0.0;7.9;7.9;5.1;2.8
82;1;02/01/2024;82;12;172;1;1;4.5;0.0;4.5;4.5;2.9;1.6
82;2;02/01/2024;82;12;192;1;1;5.9;0.0;5.9;5.9;3.9;2.0
83;1;02/01/2024;83;4;55;1;2;8.4;0.0;8.4;16.8;11.2;5.6
83;2;02/01/2024;83;4;13;1;5;5.9;0.0;5.9;29.5;19.5;10.0
83;3;02/01/2024;83;4;17;1;1;4.6;0.0;4.6;4.6;2.8;1.8
84;1;02/01/2024;84;7;363;1;1;16.9;0.0;16.9;16.9;12.1;4.8
84;2;02/01/2024;84;7;373;1;2;42.9;0.0;42.9;85.8;65.0;20.8
84;3;02/01/2024;84;7;354;1;1;14.9;0.0;14.9;14.9;10.8;4.1
85;1;02/01/2024;85;4;211;1;1;16.5;;16.5;16.5;12.1;4.4
