region;distrito;poblacion_inei_2022;poblacion_region_seleccionada;peso_region;peso_distrito_en_region;peso_final;representacion_esperada_%
Lima;Lima;266887;5439442;0.32;0.049065;0.015700846;1.570084579
Lima;Jesús María;83904;5439442;0.32;0.015425;0.004936036;0.493603572
Lima;Pueblo Libre;97568;5439442;0.32;0.017937;0.005739883;0.573988288
Lima;San Miguel;180647;5439442;0.32;0.033211;0.010627384;1.062738421
Lima;San Isidro;69409;5439442;0.32;0.012760;0.004083301;0.408330119
Lima;Miraflores;113503;5439442;0.32;0.020867;0.006677332;0.667733198
Lima;San Borja;130882;5439442;0.32;0.024062;0.007699731;0.769973097
Lima;Santiago de Surco;420016;5439442;0.32;0.077217;0.024709358;2.470935806
Lima;San Martín de Porres;770725;5439442;0.32;0.141692;0.045341416;4.534141553
Lima;Los Olivos;358910;5439442;0.32;0.065983;0.021114519;2.111451873
Lima;Comas;586914;5439442;0.32;0.107900;0.034527895;3.452789459
Lima;San Juan de Lurigancho;1225092;5439442;0.32;0.225224;0.072071628;7.207162794
Lima;Ate;702815;5439442;0.32;0.129207;0.0413463;4.134629986
Lima;Villa El Salvador;432170;5439442;0.32;0.079451;0.025424373;2.542437257
La Libertad;Trujillo;350915;1085858;0.16;0.323168;0.051706945;5.170694511
La Libertad;La Esperanza;234854;1085858;0.16;0.216284;0.034605482;3.460548248
La Libertad;El Porvenir;242202;1085858;0.16;0.223051;0.035688202;3.568820232
La Libertad;Florencia de Mora;37879;1085858;0.16;0.034884;0.00558143;0.558142962
La Libertad;Víctor Larco Herrera;81494;1085858;0.16;0.075050;0.012008053;1.200805262
La Libertad;Huanchaco;93851;1085858;0.16;0.086430;0.013828843;1.382884318
La Libertad;Moche;44663;1085858;0.16;0.041132;0.006581045;0.658104467
Arequipa;Arequipa;54396;737592;0.11;0.073748;0.00811229;0.811228972
Arequipa;Cerro Colorado;241328;737592;0.11;0.327184;0.035990195;3.599019512
Arequipa;Cayma;108314;737592;0.11;0.146848;0.016153293;1.615329342
Arequipa;Yanahuara;27081;737592;0.11;0.036715;0.004038696;0.403869619
Arequipa;José Luis Bustamante y Rivero;83807;737592;0.11;0.113622;0.012498468;1.249846799
Arequipa;Paucarpata;137061;737592;0.11;0.185822;0.020440447;2.044044675
Arequipa;Socabaya;85605;737592;0.11;0.116060;0.012766611;1.276661081
Cusco;Cusco;118843;526134;0.08;0.225880;0.018070378;1.807037751
Cusco;San Sebastián;141559;526134;0.08;0.269055;0.021524403;2.152440253
Cusco;San Jerónimo;75696;526134;0.08;0.143872;0.011509767;1.150976747
Cusco;Santiago;105919;526134;0.08;0.201316;0.016105251;1.610525075
Cusco;Wanchaq;61474;526134;0.08;0.116841;0.009347277;0.934727655
Cusco;Saylla;9146;526134;0.08;0.017383;0.001390672;0.139067234
Cusco;Poroy;13497;526134;0.08;0.025653;0.002052253;0.205225285
Loreto;Iquitos;164196;656868;0.09;0.249968;0.022497123;2.249712271
Loreto;Punchana;90609;656868;0.09;0.137941;0.012414686;1.241468606
Loreto;San Juan Bautista;159614;656868;0.09;0.242993;0.021869325;2.186932534
Loreto;Belén;71162;656868;0.09;0.108335;0.009750178;0.975017812
Loreto;Nauta;34208;656868;0.09;0.052077;0.004686969;0.468696907
Loreto;Yurimaguas;108870;656868;0.09;0.165741;0.014916696;1.491669559
Loreto;Requena;28209;656868;0.09;0.042945;0.003865023;0.386502311
Piura;Piura;184732;1065399;0.13;0.173392;0.022541001;2.254100107
Piura;Castilla;193225;1065399;0.13;0.181364;0.023577317;2.357731704
Piura;Veintiséis de Octubre;197261;1065399;0.13;0.185152;0.02406979;2.406978982
Piura;Catacaos;82839;1065399;0.13;0.077754;0.010108016;1.010801587
Piura;Sullana;193254;1065399;0.13;0.181391;0.023580856;2.358085562
Piura;Paita;106929;1065399;0.13;0.100365;0.013047478;1.304747799
Piura;Pariñas;107159;1065399;0.13;0.100581;0.013075543;1.307554259
Lambayeque;Chiclayo;293332;752839;0.07;0.389634;0.027274411;2.72744106
Lambayeque;José Leonardo Ortiz;167037;752839;0.07;0.221876;0.015531329;1.553132874
Lambayeque;La Victoria;100801;752839;0.07;0.133894;0.009372615;0.937261486
Lambayeque;Pimentel;53446;752839;0.07;0.070993;0.004969482;0.496948219
Lambayeque;Lambayeque;83717;752839;0.07;0.111202;0.007784121;0.778412117
Lambayeque;Monsefú;36188;752839;0.07;0.048069;0.00336481;0.336480974
Lambayeque;Reque;18318;752839;0.07;0.024332;0.001703233;0.17032327
Junín;Huancayo;125709;510975;0.04;0.246018;0.009840716;0.984071628
Junín;El Tambo;178306;510975;0.04;0.348952;0.0139581;1.395809971
Junín;Chilca;102548;510975;0.04;0.200691;0.008027633;0.802763345
Junín;Pilcomayo;25618;510975;0.04;0.050136;0.002005421;0.200542101
Junín;Huancán;31882;510975;0.04;0.062394;0.002495778;0.249577768
Junín;San Agustín;20025;510975;0.04;0.039190;0.001567591;0.156759137
Junín;Sapallanga;26887;510975;0.04;0.052619;0.002104761;0.210476051
