id_producto;nombre;categoria;subcategoria;marca;precio_lista;costo_unitario_promedio;producto_estrella;asociacion_1;asociacion_2;asociacion_3
1;Arroz Extra 1 kg;Abarrotes;Arroz;Costeño;6.9;4.4;True;;;
2;Arroz Superior 5 kg;Abarrotes;Arroz;Costeño;31.9;23.8;True;;;
3;Arroz Premium 5 kg;Abarrotes;Arroz;Paisana;34.9;26.2;False;;;
4;Arroz Extra 750 g;Abarrotes;Arroz;Faraón;5.4;3.6;True;;;
5;Arroz Integral 1 kg;Abarrotes;Arroz;Valle Norte;8.9;6.1;False;;;
6;Arroz Extra 1 kg;Abarrotes;Arroz;Tropical;6.5;4.1;True;;;
7;Arroz Superior 750 g;Abarrotes;Arroz;Costeño;5.1;3.4;False;;;
8;Arroz Premium 1 kg;Abarrotes;Arroz;Faraón;7.5;5.0;False;;;
9;Arroz Extra 5 kg;Abarrotes;Arroz;Paisana;32.5;24.3;True;;;
10;Arroz Integral 5 kg;Abarrotes;Arroz;Valle Norte;38.9;29.0;False;;;
11;Arroz Extra 1 kg;Abarrotes;Arroz;Añejo Real;7.2;4.7;False;;;
12;Arroz Superior 1 kg;Abarrotes;Arroz;Costeño;6.8;4.3;True;;;
13;Arroz Premium 750 g;Abarrotes;Arroz;Tropical;5.9;3.9;False;;;
14;Arroz Extra 2 kg;Abarrotes;Arroz;Paisana;12.9;9.1;True;;;
15;Arroz Integral 2 kg;Abarrotes;Arroz;Faraón;14.9;10.8;False;;;
16;Fideo Spaghetti 500 g;Abarrotes;Fideos;Molitalia;4.8;2.9;True;;;
17;Fideo Tallarín 500 g;Abarrotes;Fideos;Don Vittorio;4.6;2.8;True;;;
18;Fideo Cabello de Ángel;Abarrotes;Fideos;Nicolini;4.2;2.5;True;;;
19;Fideo Tornillo;Abarrotes;Fideos;Molitalia;4.9;3.0;True;;;
20;Fideo Corbata;Abarrotes;Fideos;Don Vittorio;5.3;3.2;False;;;
21;Fideo Spaghetti Integral;Abarrotes;Fideos;Molitalia;6.2;4.1;False;;;
22;Fideo Nido;Abarrotes;Fideos;Nicolini;5.1;3.2;False;;;
23;Fideo Tallarín Familiar;Abarrotes;Fideos;Don Vittorio;7.5;5.1;True;;;
24;Fideo Spaghetti Familiar;Abarrotes;Fideos;Molitalia;7.9;5.4;True;;;
25;Fideo Tornillo Integral;Abarrotes;Fideos;Nicolini;6.5;4.2;False;;;
26;Fideo Letras;Abarrotes;Fideos;Nicolini;4.9;3.0;False;;;
27;Fideo Estrellas;Abarrotes;Fideos;Don Vittorio;5.1;3.1;False;;;
28;Fideo Lasaña;Abarrotes;Fideos;Molitalia;8.2;5.8;False;;;
29;Fideo Codito;Abarrotes;Fideos;Nicolini;4.8;2.9;True;;;
30;Fideo Caracol;Abarrotes;Fideos;Molitalia;4.7;2.8;True;;;
31;Azúcar Rubia 1 kg;Abarrotes;Azúcar y Endulzantes;Cartavio;5.4;3.4;True;;;
32;Azúcar Blanca 1 kg;Abarrotes;Azúcar y Endulzantes;Paramonga;5.2;3.3;True;;;
33;Azúcar Rubia 2 kg;Abarrotes;Azúcar y Endulzantes;Cartavio;10.3;6.8;True;;;
34;Azúcar Blanca 2 kg;Abarrotes;Azúcar y Endulzantes;Paramonga;10.1;6.6;True;;;
35;Stevia 100 sobres;Abarrotes;Azúcar y Endulzantes;Monk;16.9;11.2;False;;;
36;Endulzante Líquido;Abarrotes;Azúcar y Endulzantes;Monk;18.5;12.5;False;;;
37;Azúcar Morena 1 kg;Abarrotes;Azúcar y Endulzantes;Cartavio;6.1;4.1;False;;;
38;Panela Molida;Abarrotes;Azúcar y Endulzantes;Valle Dulce;8.5;5.8;False;;;
39;Stevia 50 sobres;Abarrotes;Azúcar y Endulzantes;Monk;9.9;6.5;False;;;
40;Azúcar Blanca 5 kg;Abarrotes;Azúcar y Endulzantes;Paramonga;23.9;17.3;True;;;
41;Aceite Vegetal 1 L;Abarrotes;Aceites;Primor;12.5;8.7;True;;;
42;Aceite Girasol 1 L;Abarrotes;Aceites;Cocinero;13.2;9.1;True;;;
43;Aceite Oliva 500 ml;Abarrotes;Aceites;Olivos del Sur;28.9;20.6;False;;;
44;Aceite Canola 900 ml;Abarrotes;Aceites;Cocinero;14.5;10.1;False;;;
45;Aceite Vegetal 5 L;Abarrotes;Aceites;Primor;59.9;44.2;True;;;
46;Aceite Maíz 900 ml;Abarrotes;Aceites;Ideal;15.2;10.8;False;;;
47;Aceite Oliva Extra Virgen;Abarrotes;Aceites;Borges;39.9;28.7;False;;;
48;Aceite Vegetal 900 ml;Abarrotes;Aceites;Ideal;11.9;8.2;True;;;
49;Aceite Girasol 5 L;Abarrotes;Aceites;Cocinero;63.9;47.6;False;;;
50;Aceite Vegetal 2 L;Abarrotes;Aceites;Primor;24.9;18.1;True;;;
51;Atún en Agua;Abarrotes;Conservas;Florida;7.9;5.1;True;;;
52;Atún en Aceite;Abarrotes;Conservas;Campomar;8.2;5.4;True;;;
53;Sardinas en Salsa;Abarrotes;Conservas;Florida;5.9;3.8;True;;;
54;Duraznos en Almíbar;Abarrotes;Conservas;Athos;10.9;7.3;False;;;
55;Choclo en Conserva;Abarrotes;Conservas;Gloria;8.4;5.6;True;;;
56;Arvejas en Conserva;Abarrotes;Conservas;Gloria;7.9;5.2;True;;;
57;Champiñones Laminados;Abarrotes;Conservas;Valle Fértil;12.9;8.9;False;;;
58;Frejoles en Conserva;Abarrotes;Conservas;Gloria;7.8;5.2;False;;;
59;Coctel de Frutas;Abarrotes;Conservas;Athos;11.9;8.1;False;;;
60;Espárragos Verdes;Abarrotes;Conservas;Danper;13.9;9.6;False;;;
61;Lentejas 500 g;Abarrotes;Menestras;Costeño;5.6;3.6;True;;;
62;Frejol Canario 500 g;Abarrotes;Menestras;Costeño;6.8;4.6;True;;;
63;Garbanzo 500 g;Abarrotes;Menestras;Paisana;6.2;4.1;True;;;
64;Pallares 500 g;Abarrotes;Menestras;Paisana;8.4;5.9;False;;;
65;Frijol Negro 500 g;Abarrotes;Menestras;Costeño;6.1;4.0;False;;;
66;Frejol Panamito;Abarrotes;Menestras;Tottus;6.4;4.3;False;;;
67;Arveja Partida;Abarrotes;Menestras;Costeño;5.5;3.6;True;;;
68;Quinua Blanca;Abarrotes;Menestras;Valle Andino;12.9;8.9;False;;;
69;Quinua Roja;Abarrotes;Menestras;Valle Andino;13.5;9.2;False;;;
