id_producto;nombre;categoria;subcategoria;marca;precio_lista;costo_unitario_promedio
1;Arroz Extra 1 kg;Abarrotes;Arroz;Costeño;6.9;4.4
2;Arroz Superior 5 kg;Abarrotes;Arroz;Costeño;31.9;23.8
3;Arroz Premium 5 kg;Abarrotes;Arroz;Paisana;34.9;26.2
4;Arroz Extra 750 g;Abarrotes;Arroz;Faraón;5.4;3.6
5;Arroz Integral 1 kg;Abarrotes;Arroz;Valle Norte;8.9;6.1
6;Arroz Extra 1 kg;Abarrotes;Arroz;Tropical;6.5;4.1
7;Arroz Superior 750 g;Abarrotes;Arroz;Costeño;5.1;3.4
8;Arroz Premium 1 kg;Abarrotes;Arroz;Faraón;7.5;5
9;Arroz Extra 5 kg;Abarrotes;Arroz;Paisana;32.5;24.3
10;Arroz Integral 5 kg;Abarrotes;Arroz;Valle Norte;38.9;29
11;Arroz Extra 1 kg;Abarrotes;Arroz;Añejo Real;7.2;4.7
12;Arroz Superior 1 kg;Abarrotes;Arroz;Costeño;6.8;4.3
13;Arroz Premium 750 g;Abarrotes;Arroz;Tropical;5.9;3.9
14;Arroz Extra 2 kg;Abarrotes;Arroz;Paisana;12.9;9.1
15;Arroz Integral 2 kg;Abarrotes;Arroz;Faraón;14.9;10.8
16;Fideo Spaghetti 500 g;Abarrotes;Fideos;Molitalia;4.8;2.9
17;Fideo Tallarín 500 g;Abarrotes;Fideos;Don Vittorio;4.6;2.8
18;Fideo Cabello de Ángel;Abarrotes;Fideos;Nicolini;4.2;2.5
19;Fideo Tornillo;Abarrotes;Fideos;Molitalia;4.9;3
20;Fideo Corbata;Abarrotes;Fideos;Don Vittorio;5.3;3.2
21;Fideo Spaghetti Integral;Abarrotes;Fideos;Molitalia;6.2;4.1
22;Fideo Nido;Abarrotes;Fideos;Nicolini;5.1;3.2
23;Fideo Tallarín Familiar;Abarrotes;Fideos;Don Vittorio;7.5;5.1
24;Fideo Spaghetti Familiar;Abarrotes;Fideos;Molitalia;7.9;5.4
25;Fideo Tornillo Integral;Abarrotes;Fideos;Nicolini;6.5;4.2
26;Fideo Letras;Abarrotes;Fideos;Nicolini;4.9;3
27;Fideo Estrellas;Abarrotes;Fideos;Don Vittorio;5.1;3.1
28;Fideo Lasaña;Abarrotes;Fideos;Molitalia;8.2;5.8
29;Fideo Codito;Abarrotes;Fideos;Nicolini;4.8;2.9
30;Fideo Caracol;Abarrotes;Fideos;Molitalia;4.7;2.8
31;Azúcar Rubia 1 kg;Abarrotes;Azúcar y Endulzantes;Cartavio;5.4;3.4
32;Azúcar Blanca 1 kg;Abarrotes;Azúcar y Endulzantes;Paramonga;5.2;3.3
33;Azúcar Rubia 2 kg;Abarrotes;Azúcar y Endulzantes;Cartavio;10.3;6.8
34;Azúcar Blanca 2 kg;Abarrotes;Azúcar y Endulzantes;Paramonga;10.1;6.6
35;Stevia 100 sobres;Abarrotes;Azúcar y Endulzantes;Monk;16.9;11.2
36;Endulzante Líquido;Abarrotes;Azúcar y Endulzantes;Monk;18.5;12.5
37;Azúcar Morena 1 kg;Abarrotes;Azúcar y Endulzantes;Cartavio;6.1;4.1
38;Panela Molida;Abarrotes;Azúcar y Endulzantes;Valle Dulce;8.5;5.8
39;Stevia 50 sobres;Abarrotes;Azúcar y Endulzantes;Monk;9.9;6.5
40;Azúcar Blanca 5 kg;Abarrotes;Azúcar y Endulzantes;Paramonga;23.9;17.3
41;Aceite Vegetal 1 L;Abarrotes;Aceites;Primor;12.5;8.7
42;Aceite Girasol 1 L;Abarrotes;Aceites;Cocinero;13.2;9.1
43;Aceite Oliva 500 ml;Abarrotes;Aceites;Olivos del Sur;28.9;20.6
44;Aceite Canola 900 ml;Abarrotes;Aceites;Cocinero;14.5;10.1
45;Aceite Vegetal 5 L;Abarrotes;Aceites;Primor;59.9;44.2
46;Aceite Maíz 900 ml;Abarrotes;Aceites;Ideal;15.2;10.8
47;Aceite Oliva Extra Virgen;Abarrotes;Aceites;Borges;39.9;28.7
48;Aceite Vegetal 900 ml;Abarrotes;Aceites;Ideal;11.9;8.2
49;Aceite Girasol 5 L;Abarrotes;Aceites;Cocinero;63.9;47.6
50;Aceite Vegetal 2 L;Abarrotes;Aceites;Primor;24.9;18.1
51;Atún en Agua;Abarrotes;Conservas;Florida;7.9;5.1
52;Atún en Aceite;Abarrotes;Conservas;Campomar;8.2;5.4
53;Sardinas en Salsa;Abarrotes;Conservas;Florida;5.9;3.8
54;Duraznos en Almíbar;Abarrotes;Conservas;Athos;10.9;7.3
55;Choclo en Conserva;Abarrotes;Conservas;Gloria;8.4;5.6
56;Arvejas en Conserva;Abarrotes;Conservas;Gloria;7.9;5.2
57;Champiñones Laminados;Abarrotes;Conservas;Valle Fértil;12.9;8.9
58;Frejoles en Conserva;Abarrotes;Conservas;Gloria;7.8;5.2
59;Coctel de Frutas;Abarrotes;Conservas;Athos;11.9;8.1
60;Espárragos Verdes;Abarrotes;Conservas;Danper;13.9;9.6
61;Lentejas 500 g;Abarrotes;Menestras;Costeño;5.6;3.6
62;Frejol Canario 500 g;Abarrotes;Menestras;Costeño;6.8;4.6
63;Garbanzo 500 g;Abarrotes;Menestras;Paisana;6.2;4.1
64;Pallares 500 g;Abarrotes;Menestras;Paisana;8.4;5.9
65;Frijol Negro 500 g;Abarrotes;Menestras;Costeño;6.1;4
66;Frejol Panamito;Abarrotes;Menestras;Tottus;6.4;4.3
67;Arveja Partida;Abarrotes;Menestras;Costeño;5.5;3.6
68;Quinua Blanca;Abarrotes;Menestras;Valle Andino;12.9;8.9
69;Quinua Roja;Abarrotes;Menestras;Valle Andino;13.5;9.2
70;Kiwicha;Abarrotes;Menestras;Andean Valley;11.9;8.1
71;Harina Preparada;Abarrotes;Harinas;Nicolini;5.4;3.5
72;Harina sin Preparar;Abarrotes;Harinas;Nicolini;4.9;3.1
73;Harina Integral;Abarrotes;Harinas;Blanca Flor;6.2;4.2
74;Harina de Maíz;Abarrotes;Harinas;Blanca Flor;7.4;5
75;Harina de Avena;Abarrotes;Harinas;Quaker;8.9;6.2
76;Harina de Quinua;Abarrotes;Harinas;Andean Valley;12.9;8.8
77;Harina de Arroz;Abarrotes;Harinas;Valle Andino;9.5;6.4
78;Harina Repostera;Abarrotes;Harinas;Nicolini;5.9;3.9
79;Harina Multigrano;Abarrotes;Harinas;Quaker;10.9;7.5
80;Harina para Pizza;Abarrotes;Harinas;Blanca Flor;6.9;4.6
81;Ketchup 500 g;Abarrotes;Salsas y Condimentos;Alacena;8.9;6.1
82;Mayonesa 475 g;Abarrotes;Salsas y Condimentos;Alacena;10.5;7.2
83;Mostaza 250 g;Abarrotes;Salsas y Condimentos;Alacena;6.2;4.1
84;Sillao 500 ml;Abarrotes;Salsas y Condimentos;Kikko;9.9;6.8
85;Salsa de Tomate;Abarrotes;Salsas y Condimentos;Hunt's;8.2;5.5
86;Ají Amarillo Pasta;Abarrotes;Salsas y Condimentos;Alacena;7.5;5.1
87;Vinagre Blanco;Abarrotes;Salsas y Condimentos;Tibaldi;5.9;3.8
88;Orégano Molido;Abarrotes;Salsas y Condimentos;Badía;6.9;4.7
89;Pimienta Negra;Abarrotes;Salsas y Condimentos;Badía;8.9;6.2
90;Comino Molido;Abarrotes;Salsas y Condimentos;Badía;6.5;4.4
91;Páprika;Abarrotes;Salsas y Condimentos;Badía;7.2;4.9
92;Ajo en Polvo;Abarrotes;Salsas y Condimentos;Badía;8.1;5.6
93;Caldo de Pollo;Abarrotes;Salsas y Condimentos;Maggi;4.5;2.9
94;Caldo de Carne;Abarrotes;Salsas y Condimentos;Maggi;4.5;2.9
95;Salsa BBQ;Abarrotes;Salsas y Condimentos;Hunt's;12.9;8.8
96;Salsa Inglesa;Abarrotes;Salsas y Condimentos;Lea & Perrins;16.9;11.9
97;Salsa Picante;Abarrotes;Salsas y Condimentos;Tabasco;18.9;13.6
98;Ají Panca Pasta;Abarrotes;Salsas y Condimentos;Alacena;7.9;5.3
99;Sal de Mesa 1 kg;Abarrotes;Salsas y Condimentos;EMSAL;3.2;1.9
100;Sal Rosada 500 g;Abarrotes;Salsas y Condimentos;Badía;9.9;6.8
101;Agua Sin Gas 625 ml;Bebidas;Agua;San Luis;2.20;1.20
102;Agua Sin Gas 2.5 L;Bebidas;Agua;San Luis;5.90;3.40
103;Agua Mineral 625 ml;Bebidas;Agua;Cielo;2.30;1.30
104;Agua Mineral 2.5 L;Bebidas;Agua;Cielo;6.10;3.60
105;Agua Alcalina 650 ml;Bebidas;Agua;Loa;3.90;2.40
106;Agua Gasificada 500 ml;Bebidas;Agua;San Mateo;2.90;1.70
107;Agua Sabor Limón 625 ml;Bebidas;Agua;Cielo;2.80;1.60
108;Agua Sabor Manzana 625 ml;Bebidas;Agua;San Luis;2.80;1.60
109;Coca-Cola Original 500 ml;Bebidas;Gaseosas;Coca-Cola;3.80;2.30
110;Coca-Cola Original 1.5 L;Bebidas;Gaseosas;Coca-Cola;8.90;5.70
111;Coca-Cola Sin Azúcar 500 ml;Bebidas;Gaseosas;Coca-Cola;3.80;2.30
112;Inca Kola 500 ml;Bebidas;Gaseosas;Inca Kola;3.80;2.30
113;Inca Kola 1.5 L;Bebidas;Gaseosas;Inca Kola;8.90;5.70
114;Sprite 500 ml;Bebidas;Gaseosas;Sprite;3.60;2.20
115;Fanta Naranja 500 ml;Bebidas;Gaseosas;Fanta;3.60;2.20
116;Pepsi 500 ml;Bebidas;Gaseosas;Pepsi;3.50;2.10
117;Seven Up 500 ml;Bebidas;Gaseosas;7UP;3.50;2.10
118;Guaraná 500 ml;Bebidas;Gaseosas;Guaraná;3.40;2.00
119;Jugo de Naranja 1 L;Bebidas;Jugos;Frugos;8.90;5.60
120;Jugo de Durazno 1 L;Bebidas;Jugos;Frugos;8.90;5.60
121;Jugo de Piña 1 L;Bebidas;Jugos;Pulp;9.20;5.90
122;Jugo de Manzana 1 L;Bebidas;Jugos;Watts;9.50;6.10
123;Néctar de Mango 1 L;Bebidas;Jugos;Frugos;8.70;5.50
124;Jugo Multifrutas 1 L;Bebidas;Jugos;Pulp;9.50;6.10
125;Jugo de Uva 1 L;Bebidas;Jugos;Watts;9.80;6.30
126;Jugo de Arándanos 1 L;Bebidas;Jugos;Ocean Spray;15.90;11.20
127;Café Instantáneo 200 g;Bebidas;Café y Té;Nescafé;23.90;16.50
128;Café Instantáneo 100 g;Bebidas;Café y Té;Altomayo;15.90;10.80
129;Café Molido 250 g;Bebidas;Café y Té;Altomayo;18.90;13.20
130;Té Verde 25 sobres;Bebidas;Café y Té;Té Herbi;8.90;5.90
131;Té de Manzanilla 25 sobres;Bebidas;Café y Té;Hornimans;7.90;5.10
132;Té de Hierbaluisa 25 sobres;Bebidas;Café y Té;Hornimans;7.90;5.10
133;Té Inglés 100 bolsas;Bebidas;Café y Té;Twins;19.90;13.80
134;Chocolate Instantáneo 400 g;Bebidas;Café y Té;Winter's;14.90;10.10
135;Red Bull 250 ml;Bebidas;Bebidas Energéticas e Isotónicas;Red Bull;8.90;6.30
136;Monster Energy 473 ml;Bebidas;Bebidas Energéticas e Isotónicas;Monster;10.90;7.80
137;Volt 300 ml;Bebidas;Bebidas Energéticas e Isotónicas;Volt;4.90;3.10
138;Gatorade Naranja 500 ml;Bebidas;Bebidas Energéticas e Isotónicas;Gatorade;4.90;3.10
139;Powerade Mora 500 ml;Bebidas;Bebidas Energéticas e Isotónicas;Powerade;4.90;3.10
140;Leche Entera 1 L;Lácteos;Leche;Gloria;6.20;4.10
141;Leche Evaporada;Lácteos;Leche;Gloria;4.50;2.90
142;Leche Evaporada;Lácteos;Leche;Bonlé;4.50;2.90
